Country Name,Country Code,year,mmr
Nigeria,NGA,2023,993.0
Chad,TCD,2023,748.0
Central African Republic,CAF,2023,692.0
South Sudan,SSD,2023,692.0
Africa Western and Central,AFW,2023,650.0
Liberia,LBR,2023,628.0
"Somalia, Fed. Rep.",SOM,2023,563.0
Afghanistan,AFG,2023,521.0
Benin,BEN,2023,518.0
Guinea-Bissau,GNB,2023,505.0
Guinea,GIN,2023,494.0
IDA blend,IDB,2023,487.0
Lesotho,LSO,2023,478.0
Pre-demographic dividend,PRE,2023,461.0
Fragile and conflict affected situations,FCS,2023,458.0
Sub-Saharan Africa (excluding high income),SSA,2023,449.0
Sub-Saharan Africa,SSF,2023,448.0
Madagascar,MDG,2023,445.0
"Congo, Dem. Rep.",COD,2023,427.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,424.0
Burundi,BDI,2023,392.0
Mauritania,MRT,2023,381.0
Mali,MLI,2023,367.0
Cote d'Ivoire,CIV,2023,359.0
Zimbabwe,ZWE,2023,358.0
Sierra Leone,SLE,2023,354.0
"Gambia, The",GMB,2023,354.0
IDA total,IDA,2023,352.0
Niger,NER,2023,350.0
Togo,TGO,2023,349.0
Low income,LIC,2023,346.0
Haiti,HTI,2023,328.0
Heavily indebted poor countries (HIPC),HPC,2023,321.0
Eritrea,ERI,2023,291.0
Least developed countries: UN classification,LDC,2023,289.0
IDA only,IDX,2023,280.0
Tanzania,TZA,2023,276.0
Nauru,NRU,2023,273.0
Africa Eastern and Southern,AFE,2023,268.0
Cameroon,CMR,2023,258.0
Sudan,SDN,2023,256.0
Burkina Faso,BFA,2023,242.0
"Congo, Rep.",COG,2023,241.0
Senegal,SEN,2023,237.0
Lower middle income,LMC,2023,235.0
Ghana,GHA,2023,234.0
Gabon,GAB,2023,233.0
Rwanda,RWA,2023,229.0
"Venezuela, RB",VEN,2023,227.0
Malawi,MWI,2023,225.0
Low & middle income,LMY,2023,205.0
IDA & IBRD total,IBT,2023,202.0
World,WLD,2023,197.0
Ethiopia,ETH,2023,195.0
Timor-Leste,TLS,2023,192.0
Papua New Guinea,PNG,2023,189.0
Myanmar,MMR,2023,185.0
Angola,AGO,2023,183.0
Comoros,COM,2023,179.0
Equatorial Guinea,GNQ,2023,174.0
Middle income,MIC,2023,174.0
Tuvalu,TUV,2023,170.0
Uganda,UGA,2023,170.0
Djibouti,DJI,2023,162.0
Pakistan,PAK,2023,155.0
Botswana,BWA,2023,155.0
Marshall Islands,MHL,2023,155.0
Kenya,KEN,2023,149.0
Bolivia,BOL,2023,146.0
Nepal,NPL,2023,142.0
Indonesia,IDN,2023,140.0
Namibia,NAM,2023,139.0
Cambodia,KHM,2023,137.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2023,132.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2023,131.0
Jamaica,JAM,2023,130.0
"Micronesia, Fed. Sts.",FSM,2023,129.0
Dominican Republic,DOM,2023,124.0
Solomon Islands,SLB,2023,123.0
Arab World,ARB,2023,121.0
